Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2018,7,0,0,0,0,4,0,10,7,23,110,138,299
2019,45,88,66,80,150,163,195,342,210,75,151,278,"1,843"
2020,94,183,188,558,743,727,"1,111","1,469","1,949",474,761,209,"8,466"
2021,224,308,831,750,"1,627","2,177","3,512","3,053","4,602","2,701","6,971","1,770","28,526"
2022,"1,339",143,"3,066","2,143","2,916","3,140","3,673","8,574","8,054","6,900","4,082","1,744","45,774"
2023,"1,180","1,773",840,"2,153","1,664","3,823","3,299","5,369","4,729","1,869","1,661","1,077","29,437"
2024,"1,335",920,"3,180","2,132","2,881","3,041","3,414","4,149","4,192","5,417","2,901","3,254","36,816"
2025,"1,098",958,"4,586","4,432","3,738","5,170","5,454","3,567","5,084",,,,"34,087"
